eco	family	variation	epd	pgn	move_count	eval	master_games	master_white_win	master_black_win	master_draw	lichess_games	lichess_white_win	lichess_black_win	lichess_draw
C33	King's Gambit Accepted	Bishop's Gambit, Bledow Variation	rnbqkbnr/ppp2ppp/8/3p4/2B1Pp2/8/PPPP2PP/RNBQK1NR w KQkq -	1. e4 e5 2. f4 exf4 3. Bc4 d5	6	-0.49	153	32.02614379084967	43.790849673202615	24.18300653594771	62036	52.49854922947965	43.27164872009801	4.229802050422336
C33	King's Gambit Accepted	Bishop's Gambit, Boden Variation	r1b1kbnr/pppp1ppp/2n5/8/2B1Pp1q/8/PPPP2PP/RNBQ1KNR w kq -	1. e4 e5 2. f4 exf4 3. Bc4 Qh4+ 4. Kf1 Nc6	8	0.34	3	33.33333333333333	66.66666666666666	0.0	41608	50.70178811766968	46.060853681984234	3.2373582003460877
C33	King's Gambit Accepted	Bishop's Gambit, Bogoljubow Defense	rnbqkb1r/pp1p1ppp/2p2n2/8/2B1Pp2/2N5/PPPP2PP/R1BQK1NR w KQkq -	1. e4 e5 2. f4 exf4 3. Bc4 Nf6 4. Nc3 c6	8	-0.27	260	25.384615384615383	33.84615384615385	40.76923076923077	53982	50.43718276462524	45.38735133933534	4.175465896039421
C33	King's Gambit Accepted	Bishop's Gambit, Bogoljubow Variation	rnbqkb1r/pppp1ppp/5n2/8/2B1Pp2/2N5/PPPP2PP/R1BQK1NR b KQkq -	1. e4 e5 2. f4 exf4 3. Bc4 Nf6 4. Nc3	7	-0.31	319	26.64576802507837	35.42319749216301	37.93103448275862	161439	56.31043304282113	40.01759178389361	3.6719751732852655
C33	King's Gambit Accepted	Bishop's Gambit, Boren-Svenonius Variation	rnb1k1nr/ppp2ppp/3b4/3B4/4Pp1q/8/PPPP2PP/RNBQ1KNR w kq -	1. e4 e5 2. f4 exf4 3. Bc4 d5 4. Bxd5 Qh4+ 5. Kf1 Bd6	10	0.1	3	33.33333333333333	0.0	66.66666666666666	747	54.75234270414994	42.302543507362785	2.9451137884872822
C33	King's Gambit Accepted	Bishop's Gambit, Bryan Countergambit	rnb1kbnr/p1pp1ppp/8/1p6/2B1Pp1q/8/PPPP2PP/RNBQ1KNR w kq -	1. e4 e5 2. f4 exf4 3. Bc4 Qh4+ 4. Kf1 b5	8	0.61	1	100.0	0.0	0.0	1739	50.31627372052904	45.88844163312248	3.795284646348476
C33	King's Gambit Accepted	Bishop's Gambit, Chigorin's Attack	rnb1kbnr/ppp2p1p/8/3B2p1/4Pp1q/6P1/PPPP3P/RNBQ1KNR b kq -	1. e4 e5 2. f4 exf4 3. Bc4 Qh4+ 4. Kf1 d5 5. Bxd5 g5 6. g3	11	-0.73	1	0.0	0.0	100.0	2	50.0	50.0	0.0
C33	King's Gambit Accepted	Bishop's Gambit, Classical Defense	rnb1k2r/ppppnpbp/8/6p1/2BPPp1q/2N5/PPP3PP/R1BQ1KNR w kq -	1. e4 e5 2. f4 exf4 3. Bc4 Qh4+ 4. Kf1 Ne7 5. Nc3 g5 6. d4 Bg7	12	0.49	1	0.0	100.0	0.0	95	50.526315789473685	43.15789473684211	6.315789473684211
C33	King's Gambit Accepted	Bishop's Gambit, Classical Defense, Cozio Attack	rnb1kbnr/pppp1p1p/8/6p1/2B1Pp1q/5Q2/PPPP2PP/RNB2KNR b kq -	1. e4 e5 2. f4 exf4 3. Bc4 Qh4+ 4. Kf1 g5 5. Qf3	9	-1.16	0	0.0	0.0	0.0	75	45.33333333333333	50.66666666666667	4.0
C33	King's Gambit Accepted	Bishop's Gambit, Cozio Defense	rnbqkb1r/pppp1ppp/5n2/8/2B1Pp2/8/PPPP2PP/RNBQK1NR w KQkq -	1. e4 e5 2. f4 exf4 3. Bc4 Nf6	6	-0.29	335	26.56716417910448	34.92537313432836	38.50746268656716	305504	53.996019692049856	42.541832512831256	3.4621477951188853
